Manuscript,Taxa,Total_Field_Seasons,Device_Pairing_Abbreviation,Intermediate_Device_Pairing,Broad_Device_Pairings,Tracking_Group,Monitor_Group,Discipline,Sub_discipline,Single_or_Multiple_Pairing,Total_Devices,Water_Type,Min_C_Depth_m,Max_C_Depth_m,Min_length_Tag_cm,Max_length_Tag_cm,Min_Days_Tracked,Max_Days_Tracked,Min_Hours_Recorded,Max_Hours_Recorded,Notes,Depth_groups,Length_Groups,Tracking_Days,Recording_Hours
Carver_2025,Chondrichthyes,2,AC + B + Mobile,Acoustic_Baited _Mobile,Receiver_Baited_Mobile,Acoustic,Baited_Mobile,Behavioural Ecology,Habitat and space use,Single,2,Saltwater,10,17,28.5,64,0,284,0.083,0.083,,2m to 61m,Small (<28.5cm),Long Term (>170d),Short term (<2hr)
Carver_2025,Cetacea,2,AC + B + Mobile,Acoustic_Baited _Mobile,Receiver_Baited_Mobile,Acoustic,Baited_Mobile,Conservation Measures,Artificial Reefs,Single,2,Saltwater,10,17,28.5,64,0,284,0.083,0.083,,2m to 61m,Small (<28.5cm),Long Term (>170d),Short term (<2hr)
Carver_2025,Cetacea,2,AC + B + Mobile,Acoustic_Baited _Mobile,Receiver_Baited_Mobile,Acoustic,Baited_Mobile,Behavioural Ecology,Community structuring,Single,2,Saltwater,10,17,28.5,64,0,284,0.083,0.083,,2m to 61m,Small (<28.5cm),Long Term (>170d),Short term (<2hr)
Carver_2025,Cetacea,2,AC + B + Mobile,Acoustic_Baited _Mobile,Receiver_Baited_Mobile,Acoustic,Baited_Mobile,Behavioural Ecology,Behavioural states and adaptations,Single,2,Saltwater,10,17,28.5,64,0,284,0.083,0.083,,2m to 61m,Small (<28.5cm),Long Term (>170d),Short term (<2hr)
Carver_2025,Cetacea,2,AC + B + Mobile,Acoustic_Baited _Mobile,Receiver_Baited_Mobile,Acoustic,Baited_Mobile,Behavioural Ecology,Habitat and space use,Single,2,Saltwater,10,17,28.5,64,0,284,0.083,0.083,,2m to 61m,Small (<28.5cm),Long Term (>170d),Short term (<2hr)
Casey_2022,Cetacea,2,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Behavioural Ecology,Behavioural states and adaptations,Single,2,Saltwater,Not Reported,NA,NA,Not Reported,Not Reported,2,Not Reported,NA,,NA,NA,Short Term (<3d),NA
Casey_2022,Cetacea,2,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Other Drivers of Movement and Behavior,Diel differences,Single,2,Saltwater,Not Reported,NA,NA,Not Reported,Not Reported,2,Not Reported,NA,,NA,NA,Short Term (<3d),NA
Casey_2022,Cetacea,2,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Behavioural Ecology,Co_existence,Single,2,Saltwater,Not Reported,NA,NA,Not Reported,Not Reported,2,Not Reported,NA,,NA,NA,Short Term (<3d),NA
Casey_2022,Cetacea,2,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Methodological,Feasibility,Single,2,Saltwater,Not Reported,NA,NA,Not Reported,Not Reported,2,Not Reported,NA,,NA,NA,Short Term (<3d),NA
Chapple_2021,Chondrichthyes,1,DD + AB + Mobile,DataLogger_Animalborne_Mobile,NoReceiver_Animalborne_Mobile,Data Logger,Animal-borne_Mobile,Methodological,Feasibility,Multiple,3,Saltwater,10,40.5,152,300,Not Reported,NA,2.3,2.65,,2m to 61m,Large (>120cm),NA,Medium Term (2-20hr)
Chapple_2021,Chondrichthyes,1,DD + AB + Mobile,DataLogger_Animalborne_Mobile,NoReceiver_Animalborne_Mobile,Data Logger,Animal-borne_Mobile,Behavioural Ecology,Community structuring,Multiple,3,Saltwater,10,40.5,152,300,Not Reported,NA,2.3,2.65,,2m to 61m,Large (>120cm),NA,Medium Term (2-20hr)
Chapple_2024,Chondrichthyes,1,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Conservation Measures,Human_wildlife interactions,Single,2,Saltwater,Not Reported,40,700,700,0.308,0.308,4,5.07,,2m to 61m,Large (>120cm),Short Term (<3d),Medium Term (2-20hr)
Chapple_2024,Chondrichthyes,1,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Behavioural Ecology,Behavioural states and adaptations,Single,2,Saltwater,Not Reported,40,700,700,0.308,0.308,4,4,,2m to 61m,Large (>120cm),Short Term (<3d),Medium Term (2-20hr)
Chiriboga_Paredes_2022,Chondrichthyes,4,AC + B,Acoustic_Baited,Receiver_Baited,Acoustic,Baited,Methodological,Integrated approach,Single,2,Saltwater,1,4,52,78,12,92,Not Reported,NA,,2m to 61m,Medium (28.5-120cm),Medium Term (3-170d),NA
Chiriboga_Paredes_2022,Chondrichthyes,4,AC + B,Acoustic_Baited,Receiver_Baited,Acoustic,Baited,Reproductive Ecology,Nursery habitats,Single,2,Saltwater,1,4,52,78,12,92,Not Reported,NA,,2m to 61m,Medium (28.5-120cm),Medium Term (3-170d),NA
Chiriboga_Paredes_2022,Chondrichthyes,4,AC + B,Acoustic_Baited,Receiver_Baited,Acoustic,Baited,Conservation Measures,Marine protected areas and reserves,Single,2,Saltwater,1,4,52,78,12,92,Not Reported,NA,,2m to 61m,Medium (28.5-120cm),Medium Term (3-170d),NA
Christianen_2019,Reptilia,4,SA + Stationary,Satellite_Stationary,NoReceiver_Stationary,Satellite,Stationary,Behavioural Ecology,Habitat and space use,Single,2,Saltwater,1.7,4,67,83,69,107,2,4,,2m to 61m,Medium (28.5-120cm),Medium Term (3-170d),Medium Term (2-20hr)
