Manuscript,Taxa,Total_Field_Seasons,Device_Pairing_Abbreviation,Intermediate_Device_Pairing,Broad_Device_Pairings,Tracking_Group,Monitor_Group,Discipline,Sub_discipline,Single_or_Multiple_Pairing,Total_Devices,Water_Type,Min_C_Depth_m,Max_C_Depth_m,Min_length_Tag_cm,Max_length_Tag_cm,Min_Days_Tracked,Max_Days_Tracked,Min_Hours_Recorded,Max_Hours_Recorded,Notes,Depth_groups,Length_Groups,Tracking_Days,Recording_Hours
Grainger_2022,Chondrichthyes,2,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Conservation Measures,Human_wildlife interactions,Single,2,Saltwater,40,60,184,283,0.4,5,5,15.3,,2m to 61m,Large (>120cm),Medium Term (3-170d),Medium Term (2-20hr)
Grainger_2022,Chondrichthyes,2,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Behavioural Ecology,Behavioural states and adaptations,Single,2,Saltwater,40,60,184,283,0.4,5,5,15.3,,2m to 61m,Large (>120cm),Medium Term (3-170d),Medium Term (2-20hr)
Gunner_2021,Reptilia,1,DD + PIT + AB,DataLogger_PIT_Animalborne,Both_Animalborne,Data Logger_PIT,Animal-borne,Behavioural Ecology,Energetics,Multiple,3,Saltwater,3.04,7.41,NA,Not Reported,13,17,Not Reported,NA,,2m to 61m,NA,Medium Term (3-170d),NA
Gunner_2021,Reptilia,1,DD + PIT + AB,DataLogger_PIT_Animalborne,Both_Animalborne,Data Logger_PIT,Animal-borne,Methodological,Feasibility,Multiple,3,Saltwater,3.04,7.41,NA,Not Reported,13,17,Not Reported,NA,,2m to 61m,NA,Medium Term (3-170d),NA
Gunner_2021,Reptilia,1,DD + PIT + AB,DataLogger_PIT_Animalborne,Both_Animalborne,Data Logger_PIT,Animal-borne,Reproductive Ecology,"Spawning, breeding, nesting behaviour",Multiple,3,Saltwater,3.04,7.41,NA,Not Reported,13,17,Not Reported,NA,,2m to 61m,NA,Medium Term (3-170d),NA
Hampton_2025,Chondrichthyes,2,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Methodological,Paired lab approach,Single,2,Saltwater,0,22,72,120.3,0.00416,2.466,0.1,59.1814,,2m to 61m,Medium (28.5-120cm),Short Term (<3d),Long Term (>20hr)
Hampton_2025,Chondrichthyes,2,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Methodological,Feasibility,Single,2,Saltwater,0,22,72,120.3,0.00416,2.466,0.1,59.1814,,2m to 61m,Medium (28.5-120cm),Short Term (<3d),Long Term (>20hr)
Hampton_2025,Chondrichthyes,2,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Behavioural Ecology,Behavioural states and adaptations,Single,2,Saltwater,0,22,72,120.3,0.00416,2.466,0.1,59.1814,,2m to 61m,Medium (28.5-120cm),Short Term (<3d),Long Term (>20hr)
Hanson_2007,Teleostei,1,AC + Stationary,Acoustic_Stationary,Receiver_Stationary,Acoustic,Stationary,Behavioural Ecology,Energetics,Single,2,Freshwater,0,0,32,44.7,Not Reported,1,0.0333,0.0333,"COMPLEMENTATION - cameras provided images that could be processed in ImageJ to measure more finely morphology of fish, like head depth, body depth at posterio of dorsa fin, origin of find in relation to body. .While acoustic telemetry showed activity changes to look at the relationship of size with acitviity levels during guarding neset males together and showed these specific morphological traits that were related to activity of these males",Surface to 2m,Medium (28.5-120cm),Short Term (<3d),Short term (<2hr)
Hanson_2007,Teleostei,1,AC + Stationary,Acoustic_Stationary,Receiver_Stationary,Acoustic,Stationary,Reproductive Ecology,"Spawning, breeding, nesting behaviour",Single,2,Freshwater,0,0,32,44.7,Not Reported,1,0.0333,0.0333,,Surface to 2m,Medium (28.5-120cm),Short Term (<3d),Short term (<2hr)
