Manuscript,Taxa,Species,Abbreviation_Spec
O_Dor_2002,Cephalopoda,Sepioteuthis lessoniana,AC + DD + SV
O_Dor_2002,Cephalopoda,Sepia apama,AC + DD + SV
O_Dor_2002,Cephalopoda,Sepioteuthis australis,AC + DD + SV
Okuyama_2013,Reptilia,Chelonia mydas,DD + SA + AB
Okuyama_2015,Reptilia,Chelonia mydas,DD + AB
Priede_1986,Teleostei,Coryphaenoides yaquinae,AC + ACA
Ratsimbazafindranahaka_2022,Cetacea,Megaptera novaeangliae,DD + AB
Richard_2020,Bivalvia,Mytilus galloprovincialis,AC + SV
Richard_2020,Bivalvia,Crassostrea gigas,AC + SV
Richard_2020,Teleostei,Sparus aurata,AC + SV
Rudd_2021,Chondrichthyes,Cetorhinus maximus,SA + AB
Sarno_1994,Teleostei,Pollachius virens,AC + SV
Sarno_1994,Teleostei,Pollachius pollachius,AC + SV
Semmens_2019,Chondrichthyes,Carcharodon carcharias,DD + AB
Sjoberg_1999,Phocidae,Halichoerus grypus,SA + SV
Tackaberry_2020,Cetacea,Megaptera novaeangliae,DD + AB
Tanoue_2012,Teleostei,Lates japonicus,AC + DD + SV
Thomson_2014,Reptilia,Caretta caretta,DD + AB
Van_deurs_2017,Teleostei,Esox lucius,DD + SV
Van_deurs_2017,Teleostei,Carassius carassius,DD + SV
Volpov_2015,Phocidae,Arctocephalus pusillus doriferus,DD + AB
Wilson_2017,Phocidae,Neomonachus schauinslandi,DD + SA + AB
